,accession,dec.date,country,V3,region
1,MK105982,2012.71,France,2012.71,Europe
2,MH250142,2017.666,Iran,2017.666,Southern Asia
3,MH250144,2017.666,Iran,2017.666,Southern Asia
4,MH250143,2017.666,Iran,2017.666,Southern Asia
5,AY426499,[1999.148:1999.997],USA,1999.148,North America
6,JX101802,[2000.505:2000.579],South Africa,2000.505,Southern Africa
7,MN240501,[2003.293:2003.997],USA,2003.997,North America
8,JF830023,2001.874,Netherlands,2001.874,Europe
9,JF830022,2001.767,Netherlands,2001.767,Europe
10,JF830024,2001.929,Netherlands,2001.929,Europe
11,AY426500,[2003:2003.997],USA,2003.053312,North America
12,MN240499,[2003:2003.997],USA,2003.527713,North America
13,MN240510,[2003.181:2003.997],USA,2003.181,North America
14,JF830025,2003.666,Netherlands,2003.666,Europe
15,JF830026,2003.784,Netherlands,2003.784,Europe
16,AB667896,[2006:2006.879],Japan,2006,Eastern Asia
17,JF830029,2006.811,Netherlands,2006.811,Europe
18,MK216564,[2005.748:2005.822],Finland,2005.748,Europe
19,KP137815,2005.704,Finland,2005.704,Europe
20,MK989723,2015.542,Kenya,2015.542,Eastern Africa
21,MK989726,2015.14,Kenya,2015.14,Eastern Africa
22,MK989725,2015.293,Kenya,2015.293,Eastern Africa
23,MH674114,2014.685,Sweden,2014.685,Europe
24,MK989724,2015.192,Kenya,2015.192,Eastern Africa
25,KP455248,[2012.175:2012.997],Canada,2012.997,North America
26,KP728259,2014.652,Finland,2014.652,Europe
27,LN874222,[2014.581:2014.663],France,2014.581,Europe
28,LN681322,[2014.666:2014.745],France,2014.745,Europe
29,LN681339,[2014.666:2014.745],France,2014.666,Europe
30,KT220447,2014.91,France,2014.91,Europe
31,MH885649,2014.852,Senegal,2014.852,Western Africa
32,MH885650,2014.83,Senegal,2014.83,Western Africa
33,MH885648,2014.83,Senegal,2014.83,Western Africa
34,KP455258,[2014.677:2014.964],Canada,2014.750624,North America
35,KP657740,2014.751,Germany,2014.751,Europe
36,KP830120,2014.77,Netherlands,2014.77,Europe
37,MH885647,2014.77,Senegal,2014.77,Western Africa
38,MH885646,2014.764,Senegal,2014.764,Western Africa
39,MH885639,2014.811,Senegal,2014.811,Western Africa
40,MH885638,2014.934,Senegal,2014.934,Western Africa
41,MH885645,2014.764,Senegal,2014.764,Western Africa
42,MH885640,2014.8,Senegal,2014.8,Western Africa
43,MH885643,2014.767,Senegal,2014.767,Western Africa
44,MH885644,2014.764,Senegal,2014.764,Western Africa
45,MH885651,2014.83,Senegal,2014.83,Western Africa
46,MH885641,2014.786,Senegal,2014.786,Western Africa
47,MH885642,2014.786,Senegal,2014.786,Western Africa
48,KM887902,[2014:2014.997],Netherlands,2014,Europe
49,KP090459,2014.805,Spain,2014.805,Europe
50,KM887905,[2014.595:2014.948],Netherlands,2014.595,Europe
51,KP196363,2014.712,France,2014.712,Europe
52,KM887900,[2014.595:2014.948],Netherlands,2014.657797,Europe
53,KM975348,2014.658,Netherlands,2014.658,Europe
54,KX830928,[2015.17:2015.244],Germany,2015.244,Europe
55,KX830929,[2015.329:2015.403],Germany,2015.329,Europe
56,LC481140,2015.721,Philippines,2015.721,South-Eastern Asia
57,KX789238,[2015.759:2015.83],Philippines,2015.83,South-Eastern Asia
58,LC481199,2015.877,Philippines,2015.877,South-Eastern Asia
59,KX789239,[2015.833:2015.904],Philippines,2015.833,South-Eastern Asia
60,LC481207,2015.855,Philippines,2015.855,South-Eastern Asia
61,LC481185,2015.819,Philippines,2015.819,South-Eastern Asia
62,LC481202,2015.784,Philippines,2015.784,South-Eastern Asia
63,LC481201,2015.751,Philippines,2015.751,South-Eastern Asia
64,LC481203,2015.86,Philippines,2015.86,South-Eastern Asia
65,MK511856,[2007:2007.792],USA,2007,North America
66,KP455221,[2007.134:2007.997],Canada,2007.734336,North America
67,MN240493,[2007:2007.997],USA,2007.508009,North America
68,MK511858,[2007:2007.997],USA,2007.507491,North America
69,MN240491,[2006:2006.997],USA,2006.244777,North America
70,KX255363,2006.734,USA,2006.734,North America
71,MN240503,[2006.685:2006.997],USA,2006.878768,North America
72,MN240492,[2007:2007.997],USA,2007.569842,North America
73,MK511857,[2007:2007.997],USA,2007.569645,North America
74,KY348862,[2008.221:2008.997],Tanzania,2008.997,Eastern Africa
75,KT959173,[2010.414:2010.485],Hong Kong,2010.414,Eastern Asia
76,JX101794,[2008.423:2008.495],Gambia,2008.495,Western Africa
77,JX101791,[2008.415:2008.486],Gambia,2008.415,Western Africa
78,JX101793,[2008.415:2008.486],Gambia,2008.415,Western Africa
79,JX101790,[2008.415:2008.495],Gambia,2008.461852,Western Africa
80,JX101792,[2008.415:2008.495],Gambia,2008.461352,Western Africa
81,MH780656,[2007.666:2007.745],Taiwan,2007.737388,Eastern Asia
82,MH780663,[2007.666:2007.745],Taiwan,2007.737388,Eastern Asia
83,MH780659,[2007.666:2007.737],Taiwan,2007.666,Eastern Asia
84,MH780661,[2007.674:2007.745],Taiwan,2007.674,Eastern Asia
85,KP657703,[2007:2007.997],Taiwan,2007.819944,Eastern Asia
86,KP657702,[2007.682:2007.997],Taiwan,2007.997,Eastern Asia
87,MH780658,[2007.674:2007.745],Taiwan,2007.674,Eastern Asia
88,MN240494,[2008:2008.997],USA,2008.794717,North America
89,MK511859,[2008:2008.997],USA,2008.795047,North America
90,AB667898,[2008:2008.997],Japan,2008.070154,Eastern Asia
91,AB667897,[2007.529:2007.997],Japan,2007.997,Eastern Asia
92,MH780657,[2007.666:2007.745],Taiwan,2007.666,Eastern Asia
93,MH780660,[2007.666:2007.745],Taiwan,2007.666,Eastern Asia
94,MH780655,[2007.666:2007.745],Taiwan,2007.666,Eastern Asia
95,MH780662,[2007.666:2007.745],Taiwan,2007.666,Eastern Asia
96,KP242036,[2012:2012.899],Thailand,2012,South-Eastern Asia
97,KJ472878,[2008.623:2008.997],Kenya,2008.997,Eastern Africa
98,KP455260,[2007:2007.997],Canada,2007,North America
99,KP455098,[2007:2007.997],Canada,2007.778634,North America
100,MN240512,[2007.332:2007.997],USA,2007.924692,North America
101,MN240515,[2009:2009.855],USA,2009,North America
102,JF830032,2007.734,Netherlands,2007.734,Europe
103,JF830034,2007.734,Netherlands,2007.734,Europe
104,JF830035,2007.811,Netherlands,2007.811,Europe
105,JF830028,2006.756,Netherlands,2006.756,Europe
106,KC763170,[2008.833:2008.907],Italy,2008.833,Europe
107,KR108018,[2008.749:2008.822],Denmark,2008.749,Europe
108,KC763161,[2008.749:2008.822],Italy,2008.749,Europe
109,KC763165,[2008.842:2008.913],Italy,2008.913,Europe
110,JF830038,2008.743,Netherlands,2008.743,Europe
111,KC763166,[2008.749:2008.831],Italy,2008.749,Europe
112,KC763163,[2008.749:2008.831],Italy,2008.749,Europe
113,KP455230,[2010:2010.86],Canada,2010,North America
114,KJ472881,[2009:2009.997],Kenya,2009.180571,Eastern Africa
115,JX101788,[2010.093:2010.159],Senegal,2010.159,Western Africa
116,JX101789,[2010.162:2010.236],Senegal,2010.162,Western Africa
117,KJ472879,[2008.675:2008.997],Kenya,2008.997,Eastern Africa
118,KJ472887,[2011:2011.786],Kenya,2011,Eastern Africa
119,KP455103,[2008:2008.762],Canada,2008,North America
120,KJ472880,[2008.53:2008.997],Kenya,2008.997,Eastern Africa
121,KJ472883,[2010.414:2010.997],Kenya,2010.997,Eastern Africa
122,KJ472884,[2010:2010.537],Kenya,2010,Eastern Africa
123,KT023106,2009.805,Brazil,2009.805,South America
124,JF830055,2010.682,Netherlands,2010.682,Europe
125,KP317494,[2010:2010.997],Taiwan,2010.736561,Eastern Asia
126,KP317495,[2010:2010.997],Taiwan,2010.997,Eastern Asia
127,KP455231,[2010:2010.912],Canada,2010,North America
128,KP455105,[2009:2009.997],Canada,2009,North America
129,KP455241,[2010:2010.997],Canada,2010.127744,North America
130,KP455240,[2010:2010.997],Canada,2010,North America
131,KP455237,[2010:2010.997],Canada,2010,North America
132,KP455239,[2010:2010.997],Canada,2010.127096,North America
133,MN240516,[2009:2009.997],USA,2009.997,North America
134,JX101810,[2009.674:2009.745],USA,2009.745,North America
135,JF830043,2008.863,Netherlands,2008.863,Europe
136,JF830044,2008.888,Netherlands,2008.888,Europe
137,JX101812,[2009.666:2009.745],USA,2009.728948,North America
138,JX101846,[2009.666:2009.745],USA,2009.699504,North America
139,JX101807,[2009.666:2009.745],USA,2009.745,North America
140,JX101805,[2009.666:2009.745],USA,2009.666,North America
141,KT231899,2009.732,Netherlands,2009.732,Europe
142,KT231900,2009.732,Netherlands,2009.732,Europe
143,JF830039,2008.751,Netherlands,2008.751,Europe
144,KP657707,[2009:2009.997],Taiwan,2009.025155,Eastern Asia
145,JF830036,2008.65,Netherlands,2008.65,Europe
146,JF830083,2007.838,Netherlands,2007.838,Europe
147,KP455242,[2010.14:2010.997],Canada,2010.997,North America
148,LC629437,2011.479,Philippines,2011.479,South-Eastern Asia
149,AB817714,2011.479,Philippines,2011.479,South-Eastern Asia
150,AB817710,2011.422,Philippines,2011.422,South-Eastern Asia
151,AB861413,2011.422,Philippines,2011.422,South-Eastern Asia
152,KX789259,[2011.414:2011.493],Philippines,2011.414,South-Eastern Asia
153,JX101803,[2009.581:2009.663],USA,2009.609416,North America
154,KX261824,2009.726,USA,2009.726,North America
155,JF830053,2010.679,Netherlands,2010.679,Europe
156,JF830072,2010.762,Netherlands,2010.762,Europe
157,KP455234,[2010:2010.74],Canada,2010,North America
158,JF896297,[2010:2010.997],Netherlands,2010.808916,Europe
159,JF896312,[2010:2010.997],Netherlands,2010.997,Europe
160,JQ586230,2010.827,United Kingdom,2010.827,Europe
161,JQ586232,2010.868,United Kingdom,2010.868,Europe
162,MK511862,[2011:2011.819],USA,2011,North America
163,JQ924863,2010.688,China,2010.688,Eastern Asia
164,KP455256,[2010.178:2010.997],Canada,2010.997,North America
165,KX255409,2009.674,USA,2009.674,North America
166,AB614440,[2010:2010.732],Japan,2010,Eastern Asia
167,KX255355,2009.693,USA,2009.693,North America
168,KP657714,[2010:2010.8],Taiwan,2010.18869,Eastern Asia
169,KP657713,[2010:2010.8],Taiwan,2010,Eastern Asia
170,JX101809,[2009.666:2009.745],USA,2009.745,North America
171,MN240505,[2009:2009.997],USA,2009.997,North America
172,JX101808,[2009.666:2009.745],USA,2009.745,North America
173,JX101813,[2009.748:2009.83],USA,2009.799392,North America
174,KJ472890,[2010:2010.997],Kenya,2010.675624,Eastern Africa
175,JX101804,[2009.666:2009.745],USA,2009.666,North America
176,MN240506,[2009:2009.997],USA,2009.543788,North America
177,MN240519,[2009:2009.997],USA,2009.815263,North America
178,AB614441,[2010:2010.997],Japan,2010.525924,Eastern Asia
179,AB614442,[2010:2010.997],Japan,2010,Eastern Asia
180,AB614443,[2010:2010.997],Japan,2010.841497,Eastern Asia
181,AB614444,[2010:2010.997],Japan,2010.841497,Eastern Asia
182,KP455236,[2010:2010.997],Canada,2010.310774,North America
183,KP455238,[2010:2010.997],Canada,2010.010674,North America
184,KY272882,2011.753,France,2011.753,Europe
185,KP657712,[2010:2010.997],Taiwan,2010,Eastern Asia
186,JX101811,[2009.674:2009.745],USA,2009.674,North America
187,KP657710,[2010:2010.997],Taiwan,2010.074889,Eastern Asia
188,KP455235,[2010:2010.997],Canada,2010.121691,North America
189,KP455107,[2010:2010.997],Canada,2010.310027,North America
190,KC763177,[2010.748:2010.822],Italy,2010.748,Europe
191,JF896296,[2010:2010.997],Netherlands,2010,Europe
192,JF830056,2010.699,Netherlands,2010.699,Europe
193,JX101814,[2009.759:2009.83],USA,2009.759,North America
194,KT959174,[2010.414:2010.485],Hong Kong,2010.414,Eastern Asia
195,KM975325,2011.69,Netherlands,2011.69,Europe
196,KP657711,[2010:2010.625],Taiwan,2010,Eastern Asia
197,MN240495,[2009.515:2009.997],USA,2009.515,North America
198,MK511860,[2010:2010.997],USA,2010.654815,North America
199,JF896298,[2010:2010.997],Netherlands,2010.671141,Europe
200,JF896299,[2010:2010.997],Netherlands,2010.274356,Europe
201,JF896300,[2010:2010.997],Netherlands,2010.997,Europe
202,MK511861,[2010:2010.997],USA,2010,North America
203,JX101787,[2010.173:2010.244],Senegal,2010.18183,Western Africa
204,JF896301,[2010.641:2010.997],Netherlands,2010.997,Europe
205,KR108019,[2011.833:2011.904],Denmark,2011.833,Europe
206,KX261804,2009.759,USA,2009.759,North America
207,JF896290,[2010:2010.997],Netherlands,2010.528358,Europe
208,JF896287,[2010:2010.997],Netherlands,2010.899735,Europe
209,JF896288,[2010:2010.997],Netherlands,2010.899735,Europe
210,JF830062,2010.721,Netherlands,2010.721,Europe
211,KC763174,[2010.581:2010.663],Italy,2010.581,Europe
212,KM975324,2010.901,Netherlands,2010.901,Europe
213,KY272868,2010.767,France,2010.767,Europe
214,JQ411811,2011.638,Thailand,2011.638,South-Eastern Asia
215,JF830069,2010.742,Netherlands,2010.742,Europe
216,JF830061,2010.718,Netherlands,2010.718,Europe
217,KC763175,[2010.748:2010.83],Italy,2010.83,Europe
218,KC763176,[2010.748:2010.83],Italy,2010.748,Europe
219,KY272881,2010.778,France,2010.778,Europe
220,KP455115,[2009.647:2009.997],Canada,2009.997,North America
221,KP455226,[2009.545:2009.997],Canada,2009.745304,North America
222,KP455101,[2009.545:2009.997],Canada,2009.745939,North America
223,KP455233,[2010:2010.723],Canada,2010,North America
224,KP455225,[2009.545:2009.997],Canada,2009.545,North America
225,KP455252,[2010:2010.997],Canada,2010.588789,North America
226,KP455255,[2010:2010.997],Canada,2010.213297,North America
227,KP455253,[2009.499:2009.978],Canada,2009.499,North America
228,KP455251,[2009.685:2009.997],Canada,2009.71883,North America
229,KP455254,[2009.592:2009.997],Canada,2009.821746,North America
230,KP455227,[2009.699:2009.997],Canada,2009.912563,North America
231,KP455099,[2009.699:2009.997],Canada,2009.912563,North America
232,KP455102,[2010:2010.997],Canada,2010.935743,North America
233,KP455106,[2009.83:2009.997],Canada,2009.997,North America
234,KP455232,[2010:2010.723],Canada,2010,North America
235,JQ713906,2010.378,New Zealand,2010.378,Australia and New Zealand
236,JQ713904,2010.592,New Zealand,2010.592,Australia and New Zealand
237,JQ713908,2010.416,New Zealand,2010.416,Australia and New Zealand
238,JQ713905,2010.205,New Zealand,2010.205,Australia and New Zealand
239,JQ713907,2010.403,New Zealand,2010.403,Australia and New Zealand
240,JQ713910,2010.449,New Zealand,2010.449,Australia and New Zealand
241,JQ713909,2010.422,New Zealand,2010.422,Australia and New Zealand
242,JQ713913,2010.49,New Zealand,2010.49,Australia and New Zealand
243,JQ713911,2010.474,New Zealand,2010.474,Australia and New Zealand
244,JQ713912,2010.474,New Zealand,2010.474,Australia and New Zealand
245,JF896295,[2010:2010.997],Netherlands,2010.864737,Europe
246,JF830057,2010.701,Netherlands,2010.701,Europe
247,JF830054,2010.679,Netherlands,2010.679,Europe
248,KP455257,[2010:2010.997],Canada,2010.35791,North America
249,JF896294,[2010:2010.997],Netherlands,2010.095503,Europe
250,JF830063,2010.718,Netherlands,2010.718,Europe
251,JF896293,[2010:2010.693],Netherlands,2010.154911,Europe
252,JF830059,2010.707,Netherlands,2010.707,Europe
253,KR108020,[2010.748:2010.822],Denmark,2010.748,Europe
254,JQ586231,2010.844,United Kingdom,2010.844,Europe
255,JF896291,[2010:2010.997],Netherlands,2010,Europe
256,JF830058,2010.707,Netherlands,2010.707,Europe
257,KT231906,2010.66,Netherlands,2010.66,Europe
258,KT231905,2010.66,Netherlands,2010.66,Europe
259,JQ411806,2011.696,Thailand,2011.696,South-Eastern Asia
260,KY272879,2010.712,France,2010.712,Europe
261,KY272880,2010.775,France,2010.775,Europe
262,JF830067,2010.729,Netherlands,2010.729,Europe
263,KT231908,2010.729,Netherlands,2010.729,Europe
264,KT231907,2010.729,Netherlands,2010.729,Europe
265,KP455229,[2010:2010.721],Canada,2010.116395,North America
266,JF830046,2009.732,Netherlands,2009.732,Europe
267,JF896292,[2010:2010.696],Netherlands,2010.349765,Europe
268,JF830070,2010.756,Netherlands,2010.756,Europe
269,JF830060,2010.707,Netherlands,2010.707,Europe
270,JF830068,2010.737,Netherlands,2010.737,Europe
271,JF830065,2010.723,Netherlands,2010.723,Europe
272,JF830073,2010.762,Netherlands,2010.762,Europe
273,JF830066,2010.726,Netherlands,2010.726,Europe
274,JF830051,2010.66,Netherlands,2010.66,Europe
275,JF830071,2010.762,Netherlands,2010.762,Europe
276,MN240518,[2009:2009.997],USA,2009.997,North America
277,JF896289,[2010:2010.997],Netherlands,2010.997,Europe
278,KX255374,2009.649,USA,2009.649,North America
279,KX255360,2009.649,USA,2009.649,North America
280,KP455228,[2010:2010.997],Canada,2010.899453,North America
281,KC893519,[2010:2010.997],Netherlands,2010.899453,Europe
282,JF830064,2010.723,Netherlands,2010.723,Europe
283,KX255376,2011.737,USA,2011.737,North America
284,KX255386,2012.664,USA,2012.664,North America
285,KX255381,2012.675,USA,2012.675,North America
286,KX255361,2012.738,USA,2012.738,North America
287,KC763159,[2012.667:2012.738],Italy,2012.667,Europe
288,KY272896,2012.762,France,2012.762,Europe
289,KT347280,2012.85,USA,2012.85,North America
290,KY272904,2012.795,France,2012.795,Europe
291,KY272887,2012.713,France,2012.713,Europe
292,KM975336,2012.716,Netherlands,2012.716,Europe
293,KM975341,2012.814,Netherlands,2012.814,Europe
294,KM975340,2012.768,Netherlands,2012.768,Europe
295,KY272870,2012.757,France,2012.757,Europe
296,LC068708,2013.729,Japan,2013.729,Eastern Asia
297,LC068711,2013.756,Japan,2013.756,Eastern Asia
298,LC068710,2013.767,Japan,2013.767,Eastern Asia
299,AB920412,2013.586,Japan,2013.586,Eastern Asia
300,LC203536,[2013:2013.997],Japan,2013.827592,Eastern Asia
301,LC203537,[2013:2013.997],Japan,2013.574495,Eastern Asia
302,LC068709,2013.745,Japan,2013.745,Eastern Asia
303,LC200948,[2013.666:2013.745],Japan,2013.666,Eastern Asia
304,LC200951,[2013.756:2013.83],Japan,2013.83,Eastern Asia
305,KM975339,2012.751,Netherlands,2012.751,Europe
306,KP455250,[2012:2012.997],Canada,2012.997,North America
307,KF254915,2013.079,Spain,2013.079,Europe
308,KF254916,2013.09,Spain,2013.09,Europe
309,KP455116,[2013:2013.737],Canada,2013,North America
310,KP455259,[2012:2012.997],Canada,2012.846313,North America
311,KX255380,2012.658,USA,2012.658,North America
312,KX255404,2012.721,USA,2012.721,North America
313,KR018812,[2012.361:2012.997],Malaysia,2012.538136,South-Eastern Asia
314,KY272885,2012.702,France,2012.702,Europe
315,KY272893,2012.749,France,2012.749,Europe
316,KY272902,2012.792,France,2012.792,Europe
317,KX255358,2012.773,USA,2012.773,North America
318,KX255369,2012.637,USA,2012.637,North America
319,KP455247,[2012.322:2012.997],Canada,2012.997,North America
320,KP455091,[2012:2012.997],Canada,2012,North America
321,KY272915,2012.839,France,2012.839,Europe
322,KP455249,[2012:2012.997],Canada,2012.514445,North America
323,KX255392,2012.631,USA,2012.631,North America
324,KY272891,2012.74,France,2012.74,Europe
325,KY272909,2012.814,France,2012.814,Europe
326,KY272871,2012.757,France,2012.757,Europe
327,KX255359,2012.702,USA,2012.702,North America
328,KX255396,2012.721,USA,2012.721,North America
329,JF830076,2004.833,Netherlands,2004.833,Europe
330,JF830077,2004.822,Netherlands,2004.822,Europe
331,KP657701,[2007.348:2007.997],Taiwan,2007.997,Eastern Asia
332,KU242683,2008.995,China,2008.995,Eastern Asia
333,KJ556321,2009.663,Cambodia,2009.663,South-Eastern Asia
334,KJ556323,2009.663,Cambodia,2009.663,South-Eastern Asia
335,KJ556322,2009.663,Cambodia,2009.663,South-Eastern Asia
336,KJ556325,2009.663,Cambodia,2009.663,South-Eastern Asia
337,KJ556320,2009.663,Cambodia,2009.663,South-Eastern Asia
338,KJ556324,2009.663,Cambodia,2009.663,South-Eastern Asia
339,JQ411802,2009.668,Thailand,2009.668,South-Eastern Asia
340,MF045421,[2010:2010.997],Vietnam,2010.594034,South-Eastern Asia
341,KF726085,2008.762,China,2008.762,Eastern Asia
342,KT285479,2008.738,China,2008.738,Eastern Asia
343,AB667899,[2008:2008.997],Japan,2008,Eastern Asia
344,AB817707,2008.926,Philippines,2008.926,South-Eastern Asia
345,KJ556326,2009.789,Cambodia,2009.789,South-Eastern Asia
346,KP657708,[2009:2009.997],Taiwan,2009.618178,Eastern Asia
347,LC629436,2008.926,Philippines,2008.926,South-Eastern Asia
348,JX898784,[2010.915:2010.997],China,2010.915,Eastern Asia
349,KP657709,[2010:2010.997],Taiwan,2010.333798,Eastern Asia
350,JX569073,[2010.17:2010.244],China,2010.244,Eastern Asia
351,JQ924862,2010.595,China,2010.595,Eastern Asia
352,KF254914,2013.096,Spain,2013.096,Europe
353,KT959178,[2011.748:2011.822],Hong Kong,2011.748,Eastern Asia
354,KM975337,2012.73,Netherlands,2012.73,Europe
355,KR018811,[2012.598:2012.997],Malaysia,2012.598,South-Eastern Asia
356,MK496908,[2013:2013.816],El Salvador,2013,Central America
357,KR018808,[2012:2012.997],Malaysia,2012.8904,South-Eastern Asia
358,LC629438,2012.891,Philippines,2012.891,South-Eastern Asia
359,KP189401,2014.808,Germany,2014.808,Europe
360,MK105978,2014.792,France,2014.792,Europe
361,KP196370,2014.792,France,2014.792,Europe
362,KM975335,2014.696,Netherlands,2014.696,Europe
363,KP189392,2014.666,Germany,2014.666,Europe
364,KP657739,2014.685,Germany,2014.685,Europe
365,KP745729,[2014.833:2014.912],Germany,2014.833,Europe
366,KP189402,2014.805,Germany,2014.805,Europe
367,MW731823,[2014.833:2014.904],Germany,2014.833,Europe
368,KP830133,2014.789,Netherlands,2014.789,Europe
369,AB992413,[2013.162:2013.236],Philippines,2013.162159,South-Eastern Asia
370,JQ411805,2011.515,Thailand,2011.515,South-Eastern Asia
371,KR018815,[2012:2012.973],Malaysia,2012,South-Eastern Asia
372,KM975344,2013.805,Netherlands,2013.805,Europe
373,KP830131,2014.784,Netherlands,2014.784,Europe
374,KP830119,2014.767,Netherlands,2014.767,Europe
375,KP090457,2014.773,Spain,2014.773,Europe
376,KP657744,2014.789,Germany,2014.789,Europe
377,KT803601,2012.016,China,2012.016,Eastern Asia
378,JX898786,[2012.172:2012.246],China,2012.246,Eastern Asia
379,JQ924864,2011.597,China,2011.597,Eastern Asia
380,KT959177,[2011.589:2011.663],Hong Kong,2011.663,Eastern Asia
381,KT959179,[2011.833:2011.904],Hong Kong,2011.833,Eastern Asia
382,KT803588,2013.759,China,2013.759,Eastern Asia
383,KT803603,2013.849,China,2013.849,Eastern Asia
384,KT959190,[2012.667:2012.746],Hong Kong,2012.746,Eastern Asia
385,KT959189,[2012.59:2012.664],Hong Kong,2012.664,Eastern Asia
386,KT959185,[2012.331:2012.413],Hong Kong,2012.331,Eastern Asia
387,KT959183,[2012.164:2012.238],Hong Kong,2012.164,Eastern Asia
388,KY767821,2013.384,Hong Kong,2013.384,Eastern Asia
389,KT803602,2012.057,China,2012.057,Eastern Asia
390,KT306743,2011.967,China,2011.967,Eastern Asia
391,KT285480,2011.975,China,2011.975,Eastern Asia
392,KP657720,[2013.244:2013.997],Taiwan,2013.997,Eastern Asia
393,KY272886,2012.71,France,2012.71,Europe
394,KT285319,2012.046,China,2012.046,Eastern Asia
395,AB992424,[2013:2013.074],Philippines,2013,South-Eastern Asia
396,KT959193,[2013.504:2013.578],Hong Kong,2013.578,Eastern Asia
397,KT280501,2013.792,China,2013.792,Eastern Asia
398,KT959192,[2013.414:2013.485],Hong Kong,2013.414,Eastern Asia
399,KT959191,[2013.414:2013.485],Hong Kong,2013.485,Eastern Asia
400,KT959196,[2013.748:2013.822],Hong Kong,2013.822,Eastern Asia
401,KT280502,2013.647,China,2013.647,Eastern Asia
402,KT764078,2013.638,China,2013.638,Eastern Asia
403,KU321362,[2013:2013.997],China,2013,Eastern Asia
404,KP657721,[2013.37:2013.997],Taiwan,2013.883815,Eastern Asia
405,KT959195,[2013.581:2013.655],Hong Kong,2013.581,Eastern Asia
406,KT959194,[2013.581:2013.663],Hong Kong,2013.663,Eastern Asia
407,KT036451,[2014:2014.997],Malaysia,2014.271744,South-Eastern Asia
408,KR018813,[2012.172:2012.997],Malaysia,2012.997,South-Eastern Asia
409,KR018810,[2012:2012.997],Malaysia,2012.997,South-Eastern Asia
410,KR018809,[2012:2012.645],Malaysia,2012.227835,South-Eastern Asia
411,AB992426,[2013.247:2013.318],Philippines,2013.247,South-Eastern Asia
412,KR018814,[2012:2012.997],Malaysia,2012.52464,South-Eastern Asia
413,AB992425,[2013.162:2013.236],Philippines,2013.236,South-Eastern Asia
414,AB992428,[2013.329:2013.403],Philippines,2013.329,South-Eastern Asia
415,LC629439,2013.175,Philippines,2013.175,South-Eastern Asia
416,LC629441,2013.348,Philippines,2013.348,South-Eastern Asia
417,LC200942,[2013.666:2013.745],Japan,2013.726091,Eastern Asia
418,LC200943,[2013.666:2013.745],Japan,2013.726091,Eastern Asia
419,LC629440,2013.342,Philippines,2013.342,South-Eastern Asia
420,AB992427,[2013.173:2013.244],Philippines,2013.244,South-Eastern Asia
421,KR066461,[2014.255:2014.326],Germany,2014.326,Europe
422,KR066458,[2014.833:2014.904],Germany,2014.833,Europe
423,KR066459,[2013.674:2013.745],Germany,2013.745,Europe
424,KP406480,2014.803,France,2014.803,Europe
425,KR108021,[2013.833:2013.912],Denmark,2013.833,Europe
426,KT873535,2013.874,Canada,2013.874,North America
427,LN681336,[2014.841:2014.912],France,2014.841,Europe
428,MT791934,2016.339,France,2016.339,Europe
429,MH780678,[2016:2016.522],Hong Kong,2016,Eastern Asia
430,KP090456,2014.773,Spain,2014.773,Europe
431,KP090458,2014.784,Spain,2014.784,Europe
432,KP122208,2014.751,Spain,2014.751,Europe
433,KP830125,2014.819,Netherlands,2014.819,Europe
434,KR066460,[2014.748:2014.83],Germany,2014.748,Europe
435,MK105977,2014.918,France,2014.918,Europe
436,KT220448,2014.918,France,2014.918,Europe
437,MK105976,2014.805,France,2014.805,Europe
438,KT220441,2014.805,France,2014.805,Europe
439,KP657738,2014.685,Germany,2014.685,Europe
440,KT220453,2014.841,France,2014.841,Europe
441,MN726756,2015.134,Netherlands,2015.134,Europe
442,KP745741,[2014.756:2014.83],Germany,2014.756,Europe
443,KP657747,2014.819,Germany,2014.819,Europe
444,KP745738,[2014.534:2014.855],Germany,2014.534,Europe
445,LN681328,[2014.756:2014.83],France,2014.756,Europe
446,KP189397,2014.784,Germany,2014.784,Europe
447,KT873536,2014.877,Canada,2014.877,North America
448,LT745909,2014.975,France,2014.975,Europe
449,LT745908,2014.896,France,2014.896,Europe
450,LN681317,[2014.666:2014.745],France,2014.722556,Europe
451,LN681316,[2014.666:2014.745],France,2014.722926,Europe
452,LN681331,[2014.748:2014.819],France,2014.748,Europe
453,KP153538,2014.732,Italy,2014.732,Europe
454,KT220449,2014.932,France,2014.932,Europe
455,KT220450,2014.94,France,2014.94,Europe
456,KP189394,2014.742,Germany,2014.742,Europe
457,MH084317,2014.959,United Kingdom,2014.959,Europe
458,MN018235,2014.959,United Kingdom,2014.959,Europe
459,MK377402,2014.959,United Kingdom,2014.959,Europe
460,KP830128,2014.877,Netherlands,2014.877,Europe
461,KT873537,2014.959,Canada,2014.959,North America
462,KP745737,[2014.748:2014.83],Germany,2014.748,Europe
463,MK105979,2014.879,France,2014.879,Europe
464,KP830132,2014.781,Netherlands,2014.781,Europe
465,KP830121,2014.77,Netherlands,2014.77,Europe
466,KT835406,2014.715,Canada,2014.715,North America
467,KT220461,2014.915,France,2014.915,Europe
468,MN726758,2015.729,Netherlands,2015.729,Europe
469,KP830124,2014.789,Netherlands,2014.789,Europe
470,KT220444,2014.879,France,2014.879,Europe
471,KM975349,2014.69,Netherlands,2014.69,Europe
472,KP657742,2014.764,Germany,2014.764,Europe
