,accession,dec.date,country,V3,region
2171,MK216565,[2016.667:2016.746],Finland,2016.667,Europe
2172,MW731839,[2016.59:2016.664],Germany,2016.664,Europe
2173,MN018253,2018.77,United Kingdom,2018.77,Europe
2174,MN764887,2019.268,Netherlands,2019.268,Europe
2175,MH733832,2017.573,India,2017.573,Southern Asia
2176,MH330334,2017.701,India,2017.701,Southern Asia
2177,MN726799,2019.858,Netherlands,2019.858,Europe
2178,MN935870,2019.718,Sweden,2019.718,Europe
2179,MN896984,2019.877,Denmark,2019.877,Europe
2180,MN832496,2019.827,Germany,2019.827,Europe
2181,MN726800,2019.655,Netherlands,2019.655,Europe
2182,MN894271,[2019.833:2019.904],Germany,2019.833,Europe
2183,LR743440,[2019.833:2019.904],France,2019.833,Europe
2184,MN814242,2019.718,Germany,2019.718,Europe
2185,MN896981,2019.808,Denmark,2019.808,Europe
2186,MN894268,[2019.748:2019.83],Germany,2019.83,Europe
2187,MN832497,2019.882,Germany,2019.882,Europe
2188,MN896976,2019.723,Denmark,2019.723,Europe
2189,MN896977,2019.742,Denmark,2019.742,Europe
2190,MN814244,2019.805,Germany,2019.805,Europe
2191,LR743439,[2019.748:2019.822],France,2019.748,Europe
2192,MG547223,[2016.757:2016.831],China,2016.757,Eastern Asia
2193,MN726766,2016.546,Netherlands,2016.546,Europe
2194,MK371394,[2017.748:2017.822],Taiwan,2017.748,Eastern Asia
2195,MH780688,[2017:2017.997],Hong Kong,2017.617883,Eastern Asia
2196,MN018252,2018.658,United Kingdom,2018.658,Europe
2197,MK377406,2018.658,United Kingdom,2018.658,Europe
2198,OK085435,[2019.085:2019.159],Australia,2019.085,Australia and New Zealand
2199,LC515247,2018.811,Japan,2018.811,Eastern Asia
2200,LC627051,2018.786,Japan,2018.786,Eastern Asia
2201,LC627052,2018.874,Japan,2018.874,Eastern Asia
2202,MN018250,2018.734,United Kingdom,2018.734,Europe
2203,MZ576331,2018.8,United Kingdom,2018.8,Europe
2204,MN018246,2018.658,United Kingdom,2018.658,Europe
2205,MK377399,2018.658,United Kingdom,2018.658,Europe
2206,MN245400,2018.797,Belgium,2018.797,Europe
2207,MZ576335,2018.811,United Kingdom,2018.811,Europe
2208,MZ576288,2018.69,United Kingdom,2018.69,Europe
2209,MT641433,2018.69,United Kingdom,2018.69,Europe
2210,MZ576291,2018.701,United Kingdom,2018.701,Europe
2211,MT789738,2018.923,France,2018.923,Europe
2212,MT789740,2018.789,France,2018.789,Europe
2213,MT641415,2018.54,United Kingdom,2018.54,Europe
2214,MN018247,2018.693,United Kingdom,2018.693,Europe
2215,MK377393,2018.693,United Kingdom,2018.693,Europe
2216,MN245447,2018.805,Sweden,2018.805,Europe
2217,MT789743,2018.775,France,2018.775,Europe
2218,MK790106,[2018.841:2018.912],Italy,2018.879297,Europe
2219,MW664345,2018.715,United Kingdom,2018.715,Europe
2220,MT789741,2018.69,France,2018.69,Europe
2221,MZ576315,2018.759,United Kingdom,2018.759,Europe
2222,MK121719,2018.707,France,2018.707,Europe
2223,MT789744,2018.984,France,2018.984,Europe
2224,MT641438,2018.715,United Kingdom,2018.715,Europe
2225,MN245418,2018.732,Spain,2018.732,Europe
2226,MN245396,2018.767,Belgium,2018.767,Europe
2227,MN245397,2018.737,Belgium,2018.737,Europe
2228,MN245444,2018.729,Sweden,2018.729,Europe
2229,MN245448,2018.836,Sweden,2018.836,Europe
2230,MN245415,2018.715,Spain,2018.715,Europe
2231,MN245404,2018.753,Belgium,2018.753,Europe
2232,MZ576343,2018.855,United Kingdom,2018.855,Europe
2233,MZ576324,2018.773,United Kingdom,2018.773,Europe
2234,MZ576320,2018.764,United Kingdom,2018.764,Europe
2235,MT641436,2018.69,United Kingdom,2018.69,Europe
2236,MW664344,2018.69,United Kingdom,2018.69,Europe
2237,MN245425,2018.836,Spain,2018.836,Europe
2238,MK121717,2018.712,France,2018.712,Europe
2239,MZ576340,2018.805,United Kingdom,2018.805,Europe
2240,MN245409,2018.677,Switzerland,2018.677,Europe
2241,MW664343,2018.671,United Kingdom,2018.671,Europe
2242,MZ576327,2018.781,United Kingdom,2018.781,Europe
2243,MZ576321,2018.77,United Kingdom,2018.77,Europe
2244,MZ576313,2018.756,United Kingdom,2018.756,Europe
2245,MZ576345,2018.879,United Kingdom,2018.879,Europe
2246,MT641448,2018.74,United Kingdom,2018.74,Europe
2247,MT641450,2018.74,United Kingdom,2018.74,Europe
2248,MZ576289,2018.701,United Kingdom,2018.701,Europe
2249,MZ576292,2018.701,United Kingdom,2018.701,Europe
2250,MZ576295,2018.715,United Kingdom,2018.715,Europe
2251,MN018249,2018.734,United Kingdom,2018.734,Europe
2252,MT789739,2018.767,France,2018.767,Europe
2253,MT789748,2018.701,France,2018.701,Europe
2254,MN245412,2018.671,Spain,2018.671,Europe
2255,MK377401,2018.83,United Kingdom,2018.83,Europe
2256,MN018251,2018.83,United Kingdom,2018.83,Europe
2257,MN018248,2018.83,United Kingdom,2018.83,Europe
2258,OL687540,2018.77,United Kingdom,2018.77,Europe
2259,MN245423,2018.795,Spain,2018.795,Europe
2260,MN245441,2018.748,Netherlands,2018.748,Europe
2261,MZ576325,2018.773,United Kingdom,2018.773,Europe
2262,MZ576294,2018.712,United Kingdom,2018.712,Europe
2263,MT641446,2018.734,United Kingdom,2018.734,Europe
2264,MN245414,2018.715,Spain,2018.715,Europe
2265,MK121726,2018.729,France,2018.729,Europe
2266,MZ576311,2018.748,United Kingdom,2018.748,Europe
2267,MZ576329,2018.786,United Kingdom,2018.786,Europe
2268,MZ576287,2018.688,United Kingdom,2018.688,Europe
2269,MZ576314,2018.756,United Kingdom,2018.756,Europe
2270,MZ576290,2018.701,United Kingdom,2018.701,Europe
2271,MZ576328,2018.786,United Kingdom,2018.786,Europe
2272,MZ576330,2018.786,United Kingdom,2018.786,Europe
2273,MZ576344,2018.863,United Kingdom,2018.863,Europe
2274,MZ576339,2018.819,United Kingdom,2018.819,Europe
2275,MZ576341,2018.827,United Kingdom,2018.827,Europe
2276,MW664346,2018.74,United Kingdom,2018.74,Europe
2277,MZ576312,2018.751,United Kingdom,2018.751,Europe
2278,MN245417,2018.729,Spain,2018.729,Europe
2279,MZ576296,2018.712,United Kingdom,2018.712,Europe
2280,MZ576304,2018.734,United Kingdom,2018.734,Europe
2281,LC413952,[2015:2015.773],Japan,2015.65102,Eastern Asia
2282,LC203539,[2015:2015.997],Japan,2015.465828,Eastern Asia
2283,LC107896,2015.655,Japan,2015.655,Eastern Asia
2284,MN403224,2016.495,Spain,2016.495,Europe
2285,KX530786,2016.23,Spain,2016.23,Europe
2286,MH307366,2016.224,Spain,2016.224,Europe
2287,MH307406,2016.197,Spain,2016.197,Europe
2288,MN403221,2016.454,Spain,2016.454,Europe
2289,MH307378,2016.134,Spain,2016.134,Europe
2290,MH307370,2016.178,Spain,2016.178,Europe
2291,MH307373,2016.175,Spain,2016.175,Europe
2292,KX349962,2015.556,Thailand,2015.556,South-Eastern Asia
2293,MH361028,[2015.841:2015.912],United Kingdom,2015.912,Europe
2294,KX675262,2016.478,USA,2016.478,North America
2295,KU886247,[2014.77:2014.83],France,2014.83,Europe
2296,LC481220,2015.764,Philippines,2015.764,South-Eastern Asia
2297,LC481221,2015.778,Philippines,2015.778,South-Eastern Asia
2298,MW731826,[2015.666:2015.745],Germany,2015.693288,Europe
2299,MW731825,[2015.666:2015.745],Germany,2015.693288,Europe
2300,MN245446,2018.756,Sweden,2018.756,Europe
2301,LC515246,2018.838,Japan,2018.838,Eastern Asia
2302,MG547188,[2017.496:2017.57],China,2017.496,Eastern Asia
2303,MZ824224,2018.715,China,2018.715,Eastern Asia
2304,LC627053,2015.767,Japan,2015.767,Eastern Asia
2305,LC200952,[2015.581:2015.655],Japan,2015.62848,Eastern Asia
2306,KX830927,[2016.505:2016.579],Germany,2016.579,Europe
2307,MT795863,2016.533,France,2016.533,Europe
2308,MN403237,2016.342,Spain,2016.342,Europe
2309,MN403284,2016.697,Spain,2016.697,Europe
2310,MN403188,2016.434,Spain,2016.434,Europe
2311,MN403241,2016.383,Spain,2016.383,Europe
2312,MN403242,2016.388,Spain,2016.388,Europe
2313,MG547193,[2016.497:2016.579],China,2016.561418,Eastern Asia
2314,MH341724,[2016.749:2016.822],China,2016.749,Eastern Asia
2315,MH341711,[2016.511:2016.579],China,2016.558011,Eastern Asia
2316,LC203578,[2015:2015.997],Japan,2015,Eastern Asia
2317,KX685071,2016.525,Netherlands,2016.525,Europe
2318,MK419051,2018.729,USA,2018.729,North America
2319,MZ576302,2018.732,United Kingdom,2018.732,Europe
2320,MK241427,2017.701,China,2017.701,Eastern Asia
2321,MK241426,2016.697,China,2016.697,Eastern Asia
2322,MG547189,[2016.59:2016.664],China,2016.664,Eastern Asia
2323,MG547203,[2016.833:2016.904],China,2016.833,Eastern Asia
